s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,loc
561,711,597,599,558,587,474,535,770,1054,415,475,787,899,387,465,185,467,545,612,728,379,2155,589,1286,222,694,0
515,705,595,600,553,581,474,536,771,1054,415,475,792,899,392,465,384,467,545,613,728,379,2158,585,1286,223,694,1
506,705,595,597,554,584,476,538,771,1054,414,476,791,899,390,464,362,467,546,613,726,378,2156,589,1286,223,695,1
512,706,595,598,556,585,473,535,769,1055,414,477,791,900,387,464,362,467,544,613,728,379,2155,589,1286,223,695,1
519,706,595,600,555,583,471,534,771,1055,415,475,797,899,390,463,364,466,544,613,728,378,2156,585,1285,223,695,1
518,708,596,599,553,584,472,535,770,1053,414,474,797,899,387,465,364,467,545,612,726,379,2156,586,1285,223,695,1
512,706,596,599,554,581,474,536,769,1055,416,477,792,899,387,464,362,467,544,613,727,377,2155,586,1286,223,696,1
511,707,595,601,554,583,472,537,770,1054,415,475,792,899,387,463,362,467,545,612,726,380,2155,586,1287,223,695,1
510,706,595,597,556,583,471,535,772,1053,414,475,792,899,391,465,362,467,545,612,727,378,2157,585,1286,223,696,1
510,705,596,600,556,583,474,536,769,1055,415,477,792,898,391,465,360,466,546,612,726,379,2155,585,1287,223,695,1
507,707,596,600,557,583,470,535,771,1055,415,477,792,898,391,463,359,467,544,613,726,379,2155,591,1285,223,695,1
507,707,595,600,555,584,475,534,770,1055,415,476,792,899,390,463,360,466,545,613,728,379,2157,590,1286,223,695,1
508,706,596,598,554,584,473,535,770,1054,414,476,797,899,390,466,361,466,544,613,726,379,2158,584,1285,223,695,1
510,706,595,598,555,582,472,535,770,1054,414,474,791,899,390,465,360,467,546,613,727,379,2157,585,1285,223,695,1
509,708,595,601,555,584,472,536,770,1053,414,475,792,899,388,463,361,466,545,613,729,378,2156,586,1285,223,696,1
506,708,595,598,555,584,473,537,769,1054,416,477,792,898,388,464,359,467,544,612,723,379,2159,585,1287,223,695,1
507,706,597,600,557,582,472,536,769,1057,415,477,792,899,387,465,361,467,545,612,726,379,2155,590,1285,222,695,1
